categoryId,movieId,averageRatingOfMovie,createdAt,updatedAt
1,1,3.92093023255814,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
2,1,3.92093023255814,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,1,3.92093023255814,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,1,3.92093023255814,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
8,1,3.92093023255814,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,2,3.4318181818181817,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,2,3.4318181818181817,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
8,2,3.4318181818181817,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,3,3.2596153846153846,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,3,3.2596153846153846,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,4,2.357142857142857,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,4,2.357142857142857,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,4,2.357142857142857,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,5,3.071428571428572,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,6,3.946078431372549,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,6,3.946078431372549,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,6,3.946078431372549,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,7,3.185185185185185,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,7,3.185185185185185,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,8,2.875,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,8,2.875,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,9,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,10,3.496212121212121,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,10,3.496212121212121,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,10,3.496212121212121,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,11,3.6714285714285713,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,11,3.6714285714285713,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,11,3.6714285714285713,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,12,2.421052631578948,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
10,12,2.421052631578948,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,13,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
2,13,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,13,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,14,3.8333333333333335,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,15,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,15,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,15,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,16,3.926829268292683,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,16,3.926829268292683,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,17,3.776119402985074,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,17,3.776119402985074,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,18,3.7,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,19,2.727272727272727,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,20,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,20,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,20,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,20,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,20,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,21,3.49438202247191,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,21,3.49438202247191,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,21,3.49438202247191,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,22,3.2222222222222223,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,22,3.2222222222222223,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
10,22,3.2222222222222223,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
12,22,3.2222222222222223,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,22,3.2222222222222223,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,23,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,23,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,23,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,24,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
14,24,3.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,25,3.625,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,25,3.625,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,26,3.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,27,3.333333333333333,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,27,3.333333333333333,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,28,4.227272727272728,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,28,4.227272727272728,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,29,4.0131578947368425,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,29,4.0131578947368425,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
8,29,4.0131578947368425,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
12,29,4.0131578947368425,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
14,29,4.0131578947368425,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,30,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,30,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,31,3.1842105263157894,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
12,32,3.983050847457627,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
14,32,3.983050847457627,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,32,3.983050847457627,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,34,3.65234375,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,34,3.65234375,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,36,3.835820895522388,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,36,3.835820895522388,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,38,2.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,38,2.125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,39,3.293269230769231,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,39,3.293269230769231,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,40,4.25,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,41,3.7,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
16,41,3.7,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,42,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,42,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,42,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,43,3.1875,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,44,2.5434782608695654,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,44,2.5434782608695654,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
8,44,2.5434782608695654,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,45,3.3125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,45,3.3125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,45,3.3125,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,46,3.066666666666667,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,46,3.066666666666667,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
12,47,3.975369458128079,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,47,3.975369458128079,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
2,48,3.147058823529412,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,48,3.147058823529412,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,48,3.147058823529412,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
11,48,3.147058823529412,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,48,3.147058823529412,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,49,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,49,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,50,4.237745098039215,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
12,50,4.237745098039215,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,50,4.237745098039215,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,52,3.4642857142857144,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,52,3.4642857142857144,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,52,3.4642857142857144,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,53,5.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,53,5.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,54,2.333333333333333,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,54,2.333333333333333,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,55,4.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,57,3.0625,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,58,4.027027027027027,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,58,4.027027027027027,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,58,4.027027027027027,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,60,3.235294117647059,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,60,3.235294117647059,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
8,60,3.235294117647059,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,61,3.75,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,61,3.75,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,62,3.70625,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,63,2.7142857142857144,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,63,2.7142857142857144,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,64,2.2,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,64,2.2,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,65,2.532258064516129,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,66,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
14,66,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,66,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,68,3.4,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,68,3.4,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,69,3.775,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,70,3.5090909090909093,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,70,3.5090909090909093,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
10,70,3.5090909090909093,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,70,3.5090909090909093,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,71,1.7,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,72,3.2142857142857144,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,72,3.2142857142857144,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,73,3.4615384615384617,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
16,73,3.4615384615384617,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,74,4.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,74,4.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,75,2.2,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,75,2.2,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,76,3.4,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
14,76,3.4,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,76,3.4,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
6,77,4.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,78,3.333333333333333,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,78,3.333333333333333,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,78,3.333333333333333,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,78,3.333333333333333,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,79,2.764705882352941,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,79,2.764705882352941,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,80,4.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,80,4.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
5,81,3.107142857142857,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,81,3.107142857142857,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,81,3.107142857142857,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,82,3.875,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,82,3.875,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,83,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,83,3.0,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,85,3.857142857142857,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
13,85,3.857142857142857,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,86,3.966666666666667,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
1,86,3.966666666666667,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,86,3.966666666666667,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
18,87,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,87,2.5,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
4,88,3.15625,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
0,89,3.25,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,89,3.25,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
7,92,2.625,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
10,92,2.625,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
15,92,2.625,2022-04-27T01:26:11.945159,2022-04-27T01:26:11.945159
